1,Multiples of 3 and 5,762117
2,Even Fibonacci numbers,612116
3,Largest prime factor,438242
6,Sum square difference,400477
5,Smallest multiple,398089
4,Largest palindrome product,389976
7,10001st prime,342777
9,Special Pythagorean triplet,292385
8,Largest product in a series,289405
10,Summation of primes,268146
11,Largest product in a grid,194281
16,Power digit sum,188946
13,Large sum,187266
14,Longest Collatz sequence,186820
12,Highly divisible triangular number,181598
20,Factorial digit sum,165568
15,Lattice paths,154434
25,1000-digit Fibonacci number,129325
17,Number letter counts,125640
21,Amicable numbers,121178
18,Maximum path sum I,120758
19,Counting Sundays,112228
22,Names scores,111880
24,Lexicographic permutations,95549
48,Self powers,95098
30,Digit fifth powers,91245
28,Number spiral diagonals,91046
29,Distinct powers,87080
23,Non-abundant sums,85969
34,Digit factorials,78385
36,Double-base palindromes,74487
27,Quadratic primes,72422
35,Circular primes,70674
31,Coin sums,69817
26,Reciprocal cycles,69312
40,Champernowne's constant,66765
42,Coded triangle numbers,62336
37,Truncatable primes,61151
39,Integer right triangles,60632
33,Digit cancelling fractions,59545
45,"Triangular, pentagonal, and hexagonal",59291
32,Pandigital products,58835
41,Pandigital prime,56422
38,Pandigital multiples,52087
50,Consecutive prime sum,51452
46,Goldbach's other conjecture,50599
43,Sub-string divisibility,49209
44,Pentagon numbers,47829
47,Distinct primes factors,47801
49,Prime permutations,47781
