|-------+-------------------------+--------+---------|
|  rank | name                    | solved | recent  |
|-------+-------------------------+--------+---------|
|  1    | (jaehyunp)              | 583    | 7       |
|  2    | hongraejo               | 412    | 1570    |
|  3    | ainu7                   | 330    | 888     |
|  4    | shinminseon             | 330    | 35      |
|  5    | allenjeon               | 321    | 1       |
|  6    | sungmin817              | 311    | 73      |
|  7    | (ssk)                   | 307    | 830     |
|  8    | emppu                   | 262    | 106     |
|  9    | (sunleonid)             | 261    | 1487    |
|  10   | kcm1700                 | 257    | 1255    |
|  11   | thkang                  | 243    | 1735    |
|  12   | muse                    | 240    | 12      |
|  13   | JiminP                  | 238    | 1394    |
|  14   | noxnia                  | 234    | 475     |
|  15   | Bubbler                 | 232    | 305     |
|  16   | kanie                   | 230    | 428     |
|  17   | Baekjoon                | 228    | 755     |
|  18   | Doju                    | 220    | 288     |
|  19   | ipkn                    | 218    | 1265    |
|  20   | communia                | 210    | 1686    |
|  21   | zlzmsrhak               | 209    | 185     |
|  22   | Iris_harp               | 208    | 2335    |
|  23   | petdrow                 | 206    | 479     |
|  24   | (lakshimi)              | 205    | 633     |
|  25   | sharb                   | 204    | 2766    |
|  26   | l10veu                  | 202    | 2544    |
|  27   | changrak                | 201    | 293     |
|  28   | 00                      | 199    | 1422    |
|  29   | jjhangu2                | 199    | 722     |
|  30   | stenhammar              | 193    | 3470    |
|  31   | eyTns                   | 193    | 528     |
|  32   | svchost.exe             | 193    | 155     |
|  33   | uws8505                 | 189    | 3344    |
|  34   | (mecatos95d)            | 188    | 1038    |
|  35   | bumsook                 | 186    | 103     |
|  36   | veshboo                 | 184    | 162     |
|  37   | udaque                  | 181    | 1586    |
|  38   | alexum                  | 179    | 0       |
|  39   | (wooyekim)              | 178    | 1904    |
|  40   | skim0119                | 177    | 21      |
|  41   | optimizerjerry          | 176    | 2953    |
|  42   | p.istrati               | 176    | 1848    |
|  43   | Breakun                 | 170    | 1286    |
|  44   | cfranck                 | 167    | 0       |
|  45   | lem                     | 165    | 1408    |
|  46   | ddaker                  | 164    | 2486    |
|  47   | Unused                  | 164    | 448     |
|  48   | jh05013                 | 162    | 65      |
|  49   | Teferi                  | 161    | 3003    |
|  50   | gok01172                | 160    | 2708    |
|  51   | yongwhan                | 160    | 1121    |
|  52   | kimrip                  | 158    | 990     |
|  53   | choyb                   | 157    | 3053    |
|  54   | pjsdream                | 157    | 1101    |
|  55   | zhuny                   | 157    | 277     |
|  56   | Frizzle                 | 157    | 262     |
|  57   | dalpaeng2               | 156    | 1011    |
|  58   | (j1wan)                 | 153    | 700     |
|  59   | Jungkeun                | 152    | 751     |
|  60   | hillcanon               | 149    | 261     |
|  61   | kjw0612                 | 147    | 3153    |
|  62   | absenty                 | 142    | 2883    |
|  63   | veblush                 | 141    | 1947    |
|  64   | tjfktj                  | 141    | 786     |
|  65   | larez                   | 140    | 575     |
|  66   | kyumyonglee             | 140    | 553     |
|  67   | ychoi100                | 137    | 1380    |
|  68   | (juncoder)              | 134    | 1036    |
|  69   | Kyoseon                 | 133    | 2914    |
|  70   | yadi0119                | 132    | 1632    |
|  71   | HeeM                    | 132    | 488     |
|  72   | kgw0507                 | 131    | 2570    |
|  73   | hij8765                 | 131    | 1535    |
|  74   | colorized               | 131    | 498     |
|  75   | (sy0414)                | 130    | 729     |
|  76   | Sait2000                | 130    | 32      |
|  77   | bam8695                 | 129    | 1066    |
|  78   | hoo                     | 128    | 2284    |
|  79   | gsm291                  | 128    | 2201    |
|  80   | sehee382                | 127    | 2617    |
|  81   | kazel                   | 127    | 1267    |
|  82   | rein01                  | 125    | 3306    |
|  83   | frigen                  | 125    | 1781    |
|  84   | go_to_dmc               | 125    | 698     |
|  85   | dareun.geum             | 124    | 142     |
|  86   | daewonyoon              | 123    | 848     |
|  87   | lifthrasiir             | 122    | 2416    |
|  88   | daegeon                 | 122    | 14      |
|  89   | (kth3321)               | 121    | 2266    |
|  90   | (chiwook)               | 118    | 2041    |
|  91   | kheled                  | 117    | 2929    |
|  92   | sutekine                | 117    | 2130    |
|  93   | J.H.M.                  | 117    | 77      |
|  94   | EnDorphin               | 116    | 2063    |
|  95   | (Byungwoo.Jeon)         | 116    | 230     |
|  96   | kyduke                  | 114    | 169     |
|  97   | DG                      | 112    | 3183    |
|  98   | falsetru                | 111    | 2952    |
|  99   | yangbak                 | 111    | 2052    |
|  100  | neurome                 | 110    | 1517    |
|  101  | tpzcln                  | 110    | 1340    |
|  102  | insikk                  | 110    | 1189    |
|  103  | Abalcon                 | 110    | 1065    |
|  104  | Ainodyne                | 109    | 601     |
|  105  | astein                  | 108    | 343     |
|  106  | teddywith               | 107    | 3117    |
|  107  | PhoBiA                  | 107    | 1193    |
|  108  | hongsch1                | 107    | 237     |
|  109  | xenosoz                 | 106    | 2229    |
|  110  | cdg720                  | 106    | 2005    |
|  111  | 4135667                 | 106    | 673     |
|  112  | ntalbs                  | 106    | 299     |
|  113  | panda                   | 105    | 1520    |
|  114  | (pse1202)               | 105    | 804     |
|  115  | ehooizlo                | 104    | 1539    |
|  116  | keugbang                | 104    | 340     |
|  117  | dlimpid                 | 103    | 2607    |
|  118  | bosscq                  | 102    | 1028    |
|  119  | whitehwarang            | 102    | 282     |
|  120  | libe                    | 101    | 2074    |
|  121  | joinsung                | 100    | 3668    |
|  122  | sim0629                 | 100    | 2705    |
|  123  | nullstein               | 100    | 2457    |
|  124  | (kparkeuler)            | 100    | 42      |
|  125  | (dalgu)                 | 100    | 5       |
|  126  | ewmkkpe                 | 98     | 2224    |
|  127  | (ensual)                | 98     | 2071    |
|  128  | kiyohwan                | 97     | 1561    |
|  129  | younghan                | 97     | 279     |
|  130  | helicity                | 97     | 5       |
|  131  | KimHoSik                | 96     | 3289    |
|  132  | sangpaz                 | 96     | 876     |
|  133  | friend1226              | 96     | 164     |
|  134  | (123harim)              | 95     | 1148    |
|  135  | dotorya                 | 95     | 406     |
|  136  | rai                     | 94     | 2423    |
|  137  | hwijung                 | 94     | 499     |
|  138  | desti                   | 93     | 1981    |
|  139  | king--kong              | 91     | 592     |
|  140  | (kinetc)                | 91     | 0       |
|  141  | struessel               | 90     | 2034    |
|  142  | epjs0126                | 90     | 1957    |
|  143  | hitel00000              | 89     | 3547    |
|  144  | skxmremd                | 89     | 1584    |
|  145  | techshare               | 88     | 2232    |
|  146  | laputan                 | 88     | 2219    |
|  147  | nineclue                | 88     | 171     |
|  148  | pkim                    | 87     | 3340    |
|  149  | marocchino              | 87     | 3101    |
|  150  | purluno                 | 87     | 3026    |
|  151  | junwhan                 | 87     | 2447    |
|  152  | wonyoung                | 87     | 1604    |
|  153  | sanhalee                | 87     | 1526    |
|  154  | thechaos16              | 87     | 881     |
|  155  | KAKaMK                  | 86     | 3111    |
|  156  | gs13068                 | 86     | 1541    |
|  157  | (hodduc)                | 86     | 407     |
|  158  | chokobole               | 85     | 3413    |
|  159  | kivol                   | 85     | 3296    |
|  160  | chattee                 | 85     | 442     |
|  161  | key262yek               | 85     | 180     |
|  162  | wonsik                  | 84     | 1711    |
|  163  | sjnam                   | 84     | 1651    |
|  164  | Hydrogen                | 84     | 1059    |
|  165  | (wichgreen)             | 83     | 2838    |
|  166  | kaisyu                  | 83     | 2816    |
|  167  | (eulpine)               | 83     | 1010    |
|  168  | puella1204              | 83     | 1001    |
|  169  | flagj                   | 83     | 341     |
|  170  | dhkim16                 | 82     | 1841    |
|  171  | (ksthiv)                | 82     | 1563    |
|  172  | T.Eom                   | 81     | 3238    |
|  173  | hck5209                 | 81     | 2679    |
|  174  | milkskin                | 81     | 1847    |
|  175  | EffectiveService        | 81     | 1779    |
|  176  | woongy                  | 80     | 1931    |
|  177  | bdares                  | 80     | 953     |
|  178  | About-Blank             | 80     | 313     |
|  179  | danox                   | 79     | 3125    |
|  180  | inzilion                | 79     | 2467    |
|  181  | souldreamer             | 79     | 2321    |
|  182  | jeonbyungwoo            | 79     | 954     |
|  183  | kjk850                  | 78     | 2935    |
|  184  | doodoori2               | 78     | 2284    |
|  185  | (JohnSeo)               | 78     | 1092    |
|  186  | seongjaelee             | 77     | 2320    |
|  187  | (sungjinlee)            | 77     | 1835    |
|  188  | sukjoony                | 77     | 1687    |
|  189  | seaguy                  | 77     | 1493    |
|  190  | ironlung                | 77     | 1084    |
|  191  | Shongky                 | 77     | 879     |
|  192  | ch81.song               | 77     | 343     |
|  193  | birmjin.in              | 77     | 117     |
|  194  | raymundo                | 76     | 2589    |
|  195  | hothead                 | 75     | 3029    |
|  196  | nateburchell            | 75     | 2333    |
|  197  | songsungkyun            | 75     | 2010    |
|  198  | bingoo                  | 75     | 2004    |
|  199  | littlechun4             | 75     | 1995    |
|  200  | solmonk                 | 75     | 1606    |
|  201  | ltdtl                   | 75     | 1571    |
|  202  | sgpark                  | 75     | 1011    |
|  203  | YunGoon                 | 75     | 257     |
|  204  | zartoven                | 74     | 2679    |
|  205  | vamf12                  | 74     | 2532    |
|  206  | kunbam09                | 74     | 1042    |
|  207  | (bbaa1155)              | 74     | 820     |
|  208  | (gs13057)               | 74     | 198     |
|  209  | insany                  | 73     | 2855    |
|  210  | dkim90                  | 73     | 1939    |
|  211  | xoguslwkd               | 73     | 595     |
|  212  | Oscillator              | 72     | 3410    |
|  213  | trif                    | 72     | 1825    |
|  214  | hnjang810               | 72     | 1089    |
|  215  | aleph0                  | 72     | 968     |
|  216  | NewPython               | 72     | 681     |
|  217  | Corea                   | 72     | 511     |
|  218  | ssangkong               | 72     | 431     |
|  219  | delfino4                | 72     | 58      |
|  220  | drh                     | 71     | 2963    |
|  221  | motoko                  | 71     | 2713    |
|  222  | perryrage               | 71     | 2061    |
|  223  | shwlinux                | 71     | 1659    |
|  224  | jykim                   | 71     | 1337    |
|  225  | tapiko                  | 71     | 1025    |
|  226  | seul                    | 71     | 762     |
|  227  | proburner               | 71     | 678     |
|  228  | aeromind                | 71     | 263     |
|  229  | ntopia                  | 70     | 3461    |
|  230  | newshake                | 70     | 2949    |
|  231  | jupiter7                | 70     | 1393    |
|  232  | dpp5411                 | 70     | 1287    |
|  233  | naldo                   | 70     | 877     |
|  234  | changhoon               | 69     | 3027    |
|  235  | sonsworld               | 69     | 2166    |
|  236  | mnbv                    | 69     | 1878    |
|  237  | pomtech                 | 69     | 1746    |
|  238  | steloflute              | 69     | 1719    |
|  239  | milkiss                 | 69     | 1030    |
|  240  | Ephemera                | 69     | 845     |
|  241  | Peacemiki               | 69     | 821     |
|  242  | dincal                  | 69     | 486     |
|  243  | rmsrk33                 | 69     | 146     |
|  244  | wandookong              | 69     | 123     |
|  245  | dreamsboat              | 69     | 11      |
|  246  | sirgrey                 | 68     | 3674    |
|  247  | uzhao                   | 68     | 1913    |
|  248  | byturn                  | 68     | 1834    |
|  249  | hacysean                | 68     | 1518    |
|  250  | JAYS                    | 68     | 1415    |
|  251  | caooeep                 | 68     | 1305    |
|  252  | philmasterplus          | 68     | 1274    |
|  253  | eminency                | 68     | 740     |
|  254  | (hsm6911)               | 68     | 653     |
|  255  | (nersery)               | 68     | 643     |
|  256  | jihunroh-python         | 68     | 30      |
|  257  | Chulho-Song             | 67     | 3398    |
|  258  | fort726                 | 67     | 2998    |
|  259  | (posithinks)            | 67     | 2420    |
|  260  | blue9057                | 67     | 2192    |
|  261  | gnitemouse              | 67     | 2013    |
|  262  | ideale                  | 67     | 1796    |
|  263  | (soharu1024)            | 67     | 1752    |
|  264  | ibato                   | 67     | 1621    |
|  265  | heemin32                | 67     | 1558    |
|  266  | thebarbershop           | 67     | 600     |
|  267  | (ikisis)                | 67     | 48      |
|  268  | ILyoan                  | 66     | 2997    |
|  269  | flaugh                  | 66     | 2118    |
|  270  | combacsa                | 66     | 2014    |
|  271  | (lemonkr)               | 66     | 2009    |
|  272  | StarNK                  | 66     | 1638    |
|  273  | irisagfe                | 66     | 1174    |
|  274  | hylee                   | 66     | 1063    |
|  275  | greatstone              | 66     | 958     |
|  276  | laytotayl               | 65     | 3178    |
|  277  | gs10107                 | 65     | 2432    |
|  278  | yxp30                   | 65     | 1605    |
|  279  | bookman01               | 65     | 1151    |
|  280  | cguy2000                | 65     | 914     |
|  281  | espring                 | 65     | 440     |
|  282  | nonblock                | 65     | 203     |
|  283  | deity                   | 65     | 193     |
|  284  | Eclipse412              | 64     | 1771    |
|  285  | cramade                 | 64     | 1338    |
|  286  | (yeori)                 | 64     | 811     |
|  287  | kreateark               | 64     | 573     |
|  288  | eltmzhsj                | 64     | 239     |
|  289  | sherhy                  | 64     | 219     |
|  290  | krieiter                | 63     | 2016    |
|  291  | sukwoo49                | 63     | 1788    |
|  292  | kchhero                 | 63     | 1511    |
|  293  | wsh0509                 | 63     | 1249    |
|  294  | jooyunghan              | 63     | 983     |
|  295  | Veckal                  | 63     | 627     |
|  296  | (ZTZEROS)               | 63     | 605     |
|  297  | jacealan                | 63     | 125     |
|  298  | nomadlife               | 63     | 1       |
|  299  | calvados                | 62     | 2310    |
|  300  | comkiwer                | 62     | 2034    |
|  301  | (kismp123)              | 62     | 1651    |
|  302  | swchoi06                | 62     | 1495    |
|  303  | arcadia88               | 62     | 945     |
|  304  | runnie0427              | 62     | 708     |
|  305  | aviness                 | 62     | 698     |
|  306  | jw.jung                 | 62     | 616     |
|  307  | boyboyhoo               | 62     | 347     |
|  308  | legend12                | 61     | 3856    |
|  309  | oky                     | 61     | 3152    |
|  310  | i274                    | 61     | 1504    |
|  311  | JongMan                 | 61     | 1130    |
|  312  | hiparkgss               | 61     | 165     |
|  313  | TaeYoung                | 60     | 2688    |
|  314  | boredashell99           | 60     | 2554    |
|  315  | bst1206                 | 60     | 1598    |
|  316  | coprime                 | 60     | 1407    |
|  317  | optatum                 | 60     | 1179    |
|  318  | zxcxz7                  | 60     | 890     |
|  319  | fanoyong                | 60     | 551     |
|  320  | tyamazaki               | 60     | 549     |
|  321  | lasher247               | 60     | 356     |
|  322  | ssico7                  | 60     | 349     |
|  323  | totworld                | 59     | 2684    |
|  324  | brp-matlab              | 59     | 1825    |
|  325  | MagicalOrb              | 59     | 1754    |
|  326  | protos37                | 59     | 1191    |
|  327  | zephyr9                 | 59     | 228     |
|  328  | Holics                  | 58     | 2387    |
|  329  | (mighty93)              | 58     | 1492    |
|  330  | hakenstock              | 58     | 1344    |
|  331  | (tintin5108)            | 58     | 1238    |
|  332  | unbing                  | 57     | 3098    |
|  333  | jhyun95                 | 57     | 1802    |
|  334  | siscos                  | 57     | 1760    |
|  335  | (jaehaaheaj)            | 57     | 386     |
|  336  | greatkes                | 56     | 3043    |
|  337  | wildartist              | 56     | 3009    |
|  338  | yojo1000                | 56     | 2940    |
|  339  | ruwin126                | 56     | 2490    |
|  340  | zidarn                  | 56     | 2389    |
|  341  | akmakk                  | 56     | 2383    |
|  342  | asimov79                | 56     | 2232    |
|  343  | m.Shin                  | 56     | 2009    |
|  344  | (rynn5419)              | 56     | 1623    |
|  345  | (lkkpou)                | 56     | 1305    |
|  346  | luxewiz                 | 56     | 556     |
|  347  | qwe6580                 | 56     | 197     |
|  348  | mohenjo                 | 56     | 19      |
|  349  | kang249                 | 55     | 3382    |
|  350  | indrazit                | 55     | 1816    |
|  351  | yeonseung.kim           | 55     | 1339    |
|  352  | (DarkAngel)             | 55     | 1301    |
|  353  | yimjy1996               | 55     | 1182    |
|  354  | (raifthenerd)           | 55     | 117     |
|  355  | shuvh                   | 54     | 3294    |
|  356  | shurain                 | 54     | 3059    |
|  357  | hongjun7                | 54     | 2539    |
|  358  | Clatue                  | 54     | 2428    |
|  359  | (tjyoo73)               | 54     | 342     |
|  360  | bits_and_scraps         | 54     | 284     |
|  361  | (yyc9268)               | 54     | 48      |
|  362  | samerook                | 53     | 3047    |
|  363  | dbcat                   | 53     | 2904    |
