rank,name1,name2,country,score
1st,Min_25,"",Japan,241
2nd,fagu,"",Germany,239
3rd,uwi,"",Japan,236
4th,fjzzq2002,"",China,235
5th,radeye,"",USA,228
6th,grechnik,"",Russia,225
7th,vxv,"",China,223
8th,aleksey,"",Russia,217
9th,x22,"",Slovakia,214
9th,baihacker,"",China,214
11th,Rafbill,"",France,213
12th,Tepsi,"",Hungary,209
13th,lizhusong922,"",China,186
14th,sergej.samborskij,"",Russia,183
15th,"",Yoni,Israel,182
16th,SlavaKabanovich,"",USA,181
17th,fbreton,"",France,179
18th,VicTheTurtle,"",France,174
18th,shiina.ringo,"","",174
20th,liuguangxi,"",China,164
21st,cmk,"",USA,162
21st,vapor,"",China,162
21st,ASPIRINKA,"",Belarus,162
21st,cyclops,"","",162
25th,LzyRapx,"",China,158
26th,"",nathanael.courant,France,157
27th,abcwuhang,"",China,147
27th,WG4ZHZ2P2Q,"","",147
29th,utomaya,"",Japan,146
30th,lionel.m,"",France,145
31st,ksun48,"",Canada,139
31st,nledoux,"",France,139
33rd,ariacas,"",Russia,138
34th,"",Dor Shmoish,Israel,132
35th,haruya,"",Japan,127
36th,rokusuke,"",Japan,121
37th,kunyavskiy,"",Russia,115
38th,Bobbit,"",England,113
39th,Radewoosh,"",Poland,108
40th,sevenkplus,"",China,106
41st,stoned,"",Serbia,99
42nd,"",gmt,Italy,93
43rd,hidesugar,"",Japan,89
44th,ARoss,"",USA,88
45th,getero,"",Russia,86
46th,endagorion,"",Russia,83
47th,shs.10978,"",China,82
47th,"",Jaehyun Park,South Korea,82
49th,marcoskwkm,"",Brazil,78
50th,M.Healy,"",England,77
51st,philiplu,"",USA,75
51st,"",Peter de Rivaz,England,75
53rd,"",Friedrich Regen,Germany,74
54th,mdmullin,"","",73
55th,palayutm,"",China,72
56th,xyz111,"",China,71
57th,"",Samo Kralj,Slovenia,68
58th,amagri,"",France,63
59th,SANSEN,"",Japan,61
60th,modem,"",USA,59
61st,absi2011,"","",57
61st,mathcraft,"","",57
63rd,plamenko,"",Croatia,55
63rd,"",Goat Leaps,Scotland,55
65th,googlweknoall,"","",53
65th,asaf1250,"",Israel,53
67th,smikulsk,"",Poland,52
67th,"",Azuki,China,52
69th,mr027,"","",50
70th,"",griff,USA,49
71st,lycaste,"",Japan,48
72nd,YMDragon,"",China,47
72nd,brob26,"",Australia,47
74th,hirose,"",Japan,46
75th,Stache,"",USA,44
75th,Zach-Lurf,"",USA,44
75th,calypsonic,"",USA,44
78th,qwerty787788,"","",43
79th,bapt.collet,"",France,42
80th,"",jschnei,Canada,41
80th,quailty,"",China,41
82nd,roosephu,"",China,40
82nd,AleksMat,"",Slovenia,40
82nd,"",Murray,New Zealand,40
82nd,asgerix,"",Denmark,40
86th,devjoe,"",USA,39
86th,gilcu3,"",Cuba,39
88th,GuyUpLion,"",China,38
88th,swm_sxt,"",China,38
90th,SYury,"",Russia,36
91st,wxh010910,"","",34
91st,blueyoshi321,"",USA,34
91st,"",ajay_verma,India,34
94th,Litho,"","",33
94th,driversetc,"",China,33
94th,square1001,"",Japan,33
94th,amic,"",France,33
98th,unime,"",USA,32
98th,czp,"",China,32
98th,"",ironman353,India,32
98th,mareksom,"",Poland,32
98th,"",Reiner Martin,Germany,32
103rd,ruilov,"",Brazil,31
103rd,ASHRYNA,"",England,31
105th,ozgur.ozcelik,"",Turkey,30
105th,djelinski,"",Poland,30
107th,gusorjan,"",Sweden,29
108th,CBurkhart,"",USA,28
109th,ben_wh,"",England,27
110th,pranav_arora,"",India,26
110th,"",Dennis Gokman,USA,26
112th,numerisereality,"",Italy,24
113th,DerekLedbetter,"",USA,23
113th,mattmadi,"",Australia,23
115th,olwispe,"",France,21
115th,pushistik,"",Belarus,21
117th,aitch,"",Sweden,20
117th,dors,"",Israel,20
119th,urimend,"",Israel,19
120th,juris.c,"",Latvia,18
121st,Robert_OConnor,"",USA,17
121st,"",Markus,Germany,17
123rd,Nivsir,"",Belgium,16
123rd,Guego,"",France,16
123rd,kanashiRikka,"","",16
126th,"",LaMarcus,China,15
126th,"",Joe Roberston,England,15
126th,"",Matthew Fahrbach,USA,15
129th,"",Jerome R.,France,14
129th,Igor.Khrol,"",Belarus,14
131st,bonsaihawk,"",Scotland,12
131st,NiakTheWizard,"",France,12
133rd,Lucky92,"",France,11
133rd,Steppenwolf99,"",USA,11
133rd,kmlau,"",Hong Kong,11
136th,michael_ho,"",China,10
136th,"",Grenache,Japan,10
138th,hexadoodle,"",USA,9
138th,giab,"",France,9
140th,Shawnmaza,"",China,8
140th,ecnerwala,"",USA,8
140th,willhsmit,"",USA,8
140th,sollestad,"","",8
144th,dzats,"",Russia,7
145th,arnaud.nauwynck,"",France,6
145th,CSFGSAL,"",England,6
145th,MuthuVeerappanR,"",India,6
145th,9487,"","",6
149th,micangela,"",Taiwan,5
149th,gispzjz,"","",5
149th,"",Carl Edman,Sweden,5
149th,sh_012,"",Finland,5
149th,Anton_Chigurh,"",USA,5
154th,fakesson,"",Sweden,4
154th,dnormand,"",France,4
154th,Revenant,"",Netherlands,4
154th,mdix,"",Australia,4
154th,TheBlackSwan,"",Italy,4
159th,"",SmsS,Iran,3
159th,nomis,"",France,3
159th,akc,"",Iceland,3
162nd,SuprDewd,"",Iceland,2
162nd,"",Aryaman Maithani,India,2
164th,Jowett,"",Spain,1
164th,seattle_joerg,"",Germany,1
164th,lopsidation,"",USA,1
